Individual;Completed;Stolen;Longest side (cm);Est. value (million $);Popularity  # https://ultimate-top-trumps.co.uk/england/miscellaneous/famous_art_robberies.html
A Cavalier (Self-Portrait);1659;2007;20;1.5;2
Bords de la Seine a Bougival;1871;1987;40;3.5;3
Chez Tortoni;1880;1990;33.7;32;3
Christ in the Storm on the Sea of Galilee;1633;1990;160;70;5
Congregation Leaving the Reformed Church in Nuenen;1884;2002;41.3;16.5;5
Count Lepic and his Daughters;1870;2008;81;12;4
Duke of Wellington;1814;1961;64.3;68;4
Impression Soleil Levant;1872;1985;63;15;4
Jacob de Gheyn lll;1632;1966;29.9;18;5
Kitchen Maid with the Supper at Emmaus;1618;1974;118;18;3
Landscape with an Obelisk;1638;1990;71;25;2
Le Chemin de Sevres. View de Paris.;1865;1998;49;2;2
Madonna with the Yarnwinder (one of two copies);1510;2003;48.3;65;5
Mona Lisa (La Gioconda);1506;1911;77;760;5
Nativity with St Francis and St Lawrence;1609;1969;268;30;4
Poppy Flowers (Vase and Flowers);1887;2010;65;55;5
Portrait of Dona Antonia Zarate;1806;1986;103.5;86;4
Portrait of Lady Georgiana Cavendish;1787;1876;127;1.5;1
Self-Portrait;1630;2000;15;12;5
Shade and Darkness;1843;1994;78.7;18;4
The Boy in the Red Vest;1890;2008;80;92;5
The Concert;1664;1990;72.5;200;4
The Gardener (Young Peasant);1889;1998;61;42;5
The Just Judges (Ghent Altarpiece);1427;1934;145;227;2
The Love Letter;1846;1989;24;2;3
The Poor Poet (one of four versions);1839;1989;44.7;1.5;3
The Three Graces;1635;1966;220.5;80;4
The White Duck;1753;1992;95.3;8;3
View of the Sea at Scheveningen;1882;2002;51;15;5
Waft of Mist;1820;1994;42.5;23.5;4
Woman Writing a Letter, with her Maid;1671;1986;72.2;160;4
Young Girl at a Window;1645;1966;81.8;38;5