Car;mph;hp;0-100 km/h;cc;cylinders;lbs
Audi 100 Coupe S;113;112;10;1871;4;2425
Audi 100 GL;111;112;11;1871;4;2200
Audi 80 GL;105;85;13;1470;4;1884
Audi 80 L;90;55;17;1296;4;1840
BMW 1802;102;90;12;1766;4;2072
BMW 3.0 CS;132;180;8;2985;6;3042
BMW 3.0 S;127;180;9;2985;6;3042
BMW 520;107;115;13;1990;4;2712
Ford Consul 1700;90;75;19;1698;4;2645
Ford Escort 1100 S;80;48;23;1098;4;1862
Ford Granada 3000;115;138;11;2945;6;3010
Ford Taunus 1600 GT;100;88;14;1576;4;2250
Mercedes 200;100;95;16;1988;4;2932
Mercedes 280 E;125;185;10;2746;6;3307
Mercedes 350 SE;128;200;10;3499;8;3803
Mercedes 350 SL;130;200;9;3499;8;3406
Opel Ascona 16;90;68;18;1584;4;2060
Opel Commodore GS/E Coupe;125;160;10;2784;6;2810
Opel Commodore;108;115;13;2490;6;2712
Opel Diplomat 5,4;128;230;9;5334;8;3725
Opel Kadett 1,2;87;60;17;1196;4;1698
Opel Manta 16 S;100;80;14;1584;4;2116
Opel Rekord 1700 S;96;83;17;1698;4;2425
Opel Rekord 1900 Coupe;103;97;14;1897;4;2425
Porsche 911 E Targa;137;165;9;2341;6;2370
Porsche 911 T Coupe;128;130;10;2341;6;2315
Porsche Carrera RS;152;210;6;2687;6;2116
VW 1303;78;44;25;1285;4;1962
VW 1600 L;84;54;19;1584;4;2282
VW 412 LE;96;80;16;1679;4;2425
VW K 70 L;98;90;14;1605;4;2425
VW-Porsche 914 2.0;118;100;11;1971;4;2094