name;engine capacity, cc;maximum power output, hp;revolutions per minute;number of cylinders;number of gears # https://ultimate-top-trumps.co.uk/england/dubreq/mini_trump_fact_cards/racing_motor_cycles.html
Aro Side Car Outfit (Germany);500;90;12000;4;6
Bender Special (Germany);124;39;13600;2;6
BMW (Germany);750;70;8000;2;5
BMW Side Car Outfit (Germany);500;75;9800;2;6
Bultaco (Spain);125;40;14000;2;6
Derbi (Spain);50;18;16000;1;6
Harley Davidson (USA);250;60;12000;2;6
Honda (Japan);750;95;9500;4;5
Kawasaki (Japan);250;52;11000;2;6
Kawasaki (Japan);500;100;12000;3;6
K̦nig Side Car Outfit (Germany);500;100;11500;4;6
Kreidler (Germany);50;22;18000;1;6
Maico (Germany);125;34;12500;1;6
Malanca (Italy);50;16;15000;1;6
MV Augusta (Italy);350;72;14000;4;6
MV Augusta (Italy);500;100;14500;4;6
Piovaticci (Italy);50;19;16500;1;6
Suzuki (Japan);500;105;1500;4;6
Suzuki (Japan);750;130;10500;3;6
Yamaha (Japan);125;36;14000;2;6
Yamaha (Japan);500;95;10500;4;6
Yamaha (Japan);750;125;10700;4;6
Yamaha 350 (Japan);350;70;12000;2;6
Yamaha Side Car Outfit (Japan);500;92;10500;4;6