Individual;Honor;Wisdom;Deception;Fighting Skill;Jedi Power # https://ultimate-top-trumps.co.uk/england/winning_moves/2010/star_wars_rise.html
Aayla Secura;8;20;20;91;4
Ahsoka Tano;8;17;24;89;3
Anakin Skywalker;7;18;21;96;4
Arf Trooper;7;20;39;79;0
Aurra Sing;2;20;48;87;0
Barriss Offee;9;16;19;82;3
Bora Fett;7;14;38;50;0
Bossk;3;17;47;90;0
Cad Bane;2;16;50;80;2
Cammando Droid;1;17;39;79;0
Captain Rex;1;20;20;95;2
Castas;1;16;38;76;0
Cato Parasitti;0;16;44;68;1
Clone Commander Cody;8;17;20;77;1
Commander Bly;8;19;21;84;2
Commander Gree;7;20;23;76;1
Darth Sidious;0;24;50;86;5
Duchess Satine Kryze;10;25;12;30;0
Embo;8;15;24;70;1
General Grievous;4;23;40;94;2
IG-86 Sentinel Droid;5;10;20;80;0
Karina the Great;0;14;47;23;0
Ki-Adi-Mundi;9;23;16;90;4
Mace Windu;10;25;2;97;5
Mandalorian Warrior;10;17;24;90;0
Obi-Wan Kenobi;9;22;17;97;5
Pre Vizsla;5;21;49;85;1
Sugi;9;20;34;77;2
Undead Geonosian;0;0;15;80;0
Yoda;10;25;4;98;5