Individual;Size;Speed;Fire Power;Maneuvering;Force Factor # https://ultimate-top-trumps.co.uk/england/winning_moves/2006/star_wars_starships.html
ARC-170;4;77;6;17;1
AT-AT;6;64;8;9;2
AT-ST;4;69;5;11;2
AT-TE;5;58;7;10;2
B-Wing Starfighter;5;73;6;15;1
Clone Turbo Tank;6;62;5;13;1
Death Star;10;50;12;2;4
Droid Starfighter;3;67;5;14;2
Droid Tri-Fighter;4;74;7;16;1
Imperial Shuttle;4;44;1;9;2
Jedi Starfighter;4;70;6;16;1
Landspeeder;2;52;0;8;1
Millenium Falcon;6;100;7;20;3
N-1 Starfighter;4;70;5;15;2
Podracer;2;70;0;19;1
Republic Gunship;5;58;8;13;2
Royal Starship;6;71;0;10;1
Sail Barge;6;41;3;1;1
Sandcrawler;4;40;0;1;2
Slave l;4;93;7;17;2
Snowspeeder;3;68;2;15;1
Speeder Bike;1;75;1;19;2
Star Destroyer;8;90;9;5;3
Tantive IV;6;60;4;11;2
Tie Fighter Advanced;4;77;6;17;1
Tie Fighter;4;68;2;18;3
Trade Federation Battleship;8;49;8;5;3
Wheel Bike;2;68;4;19;1
X-Wing Starfighter;5;80;6;18;3
Y-Wing Starfighter;5;4;6;15;3