name;engine capacity, cc;maximum power output, hp;revolutions per minute;oil tank, l;petrol tank, l;wheel-base, mm;length, mm;height, mm;width, mm;turning circle;weight;acceleration (0-100 km/h);consumption per 100km;maximum speed, km/h # https://ultimate-top-trumps.co.uk/england/dubreq/series_3/world_class_cars.html
Alfa Romeo Montreal;2593;200;6500;12.1;63;2350;4220;1672;1205;11.2;1270;-100;-18.5;220
Bitter CD;5354;230;4700;4.5;80;2829;4820;1852;1290;11.9;1700;-9;-20;215
BMW 633 CSi;3210;200;5500;6.5;70;2626;4755;1725;1365;10.9;1470;-8;-16;210
Bricklin;5879;220;440;4.7;82;2438;4536;1717;1225;10.4;1000000;-8;-20;200
Cadillac Seville L 4;5376;182;4400;4.7;79.5;2905;5180;1825;1390;14;1965;-11;-21;180
Citroen SM;2670;163;5500;7;90;2950;4893;1836;1324;11.7;1800;-11;-17.5;220
Countach;3929;375;8000;15;140;2450;4140;1890;1070;11.2;1320;-6;-26;290
Daimler Pullman;4235;245;5500;8.2;90;3580;5740;1990;1620;16;2230;-14;-22;176
De Tomaso Pantera L;5736;330;5400;5.5;85;2515;4270;1830;1100;11.5;1420;-7;-21;254
Dino 308 GT4;2926;225;7700;6;80;2550;4320;1800;1180;12.5;1150;-7;-19;250
Ferrari 365 GT 4;4390;340;6800;10;120;2700;4800;1800;1290;13.4;1650;-8;-26;250
Ferrari 365 GT BB;4390;360;7500;10;90;2500;4360;1800;1120;12.5;1300;-7;-26;300
Ferrari 365 GTB/4;4390;352;7500;16;100;2400;4425;1760;1245;13.4;1200;-6;-28;280
Ford Continental;7536;200;3800;4.7;99.5;3030;5910;2040;1480;15;2395;-11;-24;190
Ford Thunderbird;7542;227;4000;4.7;100;3060;5735;2025;1350;14.2;2315;-10;-24;195
Jaguar XJ6;4235;245;5500;8.2;104;2764;4811;1768;1342;12.2;1680;-10;-19;200
Jaguar XJS;5307;287;5750;9;91;2590;4870;1790;1260;13;1760;-7;-24;240
Lamborghini Urraco P250;2463;220;7800;6;70;2450;4250;1760;1115;10.8;1000000;-100;-18;240
Lotus Elite;1973;150;6500;6;67;2483;4457;1816;1206;10.5;1110;-8;-14;205
Maserati Bora;4719;310;6000;9;85;2600;4335;1768;1134;11.7;1550;-7;-22;260
Mercedes Benz 450 SEL 6.9;6834;286;4250;12;96;2965;5050;1865;1430;12.2;1935;-8;-23;225
Mercedes Benz 450 SL;4520;225;5000;7.5;90;2815;4740;1790;1330;11.7;1630;-9;-19.5;215
Mercedes-Benz 600;6289;250;4000;6;112;3200;5540;1950;1500;12.7;2600;-10;-24;207
Monteverdi Hai 450 SS;6980;450;5000;11;130;2540;4280;1795;1110;13.2;1500;-6;-27;270
Monteverdi High Speed 375;7207;310;4600;7;115;2660;4800;1795;1270;13.3;2300;-8;-27;230
Oldsmobile 98;7446;193;3400;4.7;98;3150;5900;2030;1380;11.4;2220;-12;-25;180
Panther;4235;172;4500;8.2;118;2769;4052;1701;1406;15;1100;-10;-24;200
Pontiac firebird;6558;188;3600;5.7;76;2745;4980;1860;1250;12.6;1735;-11;-21;195
Porsche Turbo;2993;260;5500;13;80;2272;4291;1775;1304;10.8;1140;-6;-18;250
Rolls Royce Camargue;6750;250;4500;8.2;68;3050;5170;1920;1470;12;2345;-12;-24;180
Rolls Royce Corniche Cabriolet;6745;260;4500;8.2;105;3683;5170;1828;1520;13;2300;-11;-24;193
Stratos;2418;190;7000;6.5;85;2180;3710;1750;1110;10;1030;-8;-17;220